author,quote
Joey,Done with the bookcase!
Chandler,All finished!
Ross,"(clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known."
Joey,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
Chandler,"Yes, please don't spoil all this fun."
Joey,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
Ross,You guys.
Chandler,"Oh, God."
Joey,You got screwed.
Chandler,Oh my God!
Monica,Oh my God!
Paul,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
Monica,"My brother's going through that right now, he's such a mess. How did you get through it?"
Paul,"Well, you might try accidentally breaking something valuable of hers, say her-"
Monica,-leg?
Paul,"(laughing) That's one way! Me, I- I went for the watch."
Monica,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
Paul,"Ooh, steer clear of you."
Monica,"That's right.Scene: Monica's Apartment, Rachel is talking on the phone and pacing.]"
Rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- (She stops talking and dials the phone.) Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too... (The maching cuts her off again and she redials.)"
Ross,I'm divorced! I'm only 26 and I'm divorced!
Joey,Shut up!
Chandler,You must stop! (Chandler hits what he is working on with a hammer and it collapses.)
Ross,That only took me an hour.
Chandler,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
Ross,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
Joey,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
Ross,I honestly don't know if I'm hungry or horny.
Chandler,"Stay out of my freezer!"
Paul,"Ever since she walked out on me, I, uh..."
Monica,"What?..... What, you wanna spell it out with noodles?"
Paul,"No, it's, it's more of a fifth date kinda revelation."
Monica,"Oh, so there is gonna be a fifth date?"
Paul,Isn't there?
Monica,"Yeah... yeah, I think there is. -What were you gonna say?"
Paul,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. (Monica takes a sip of her drink.) ...Sexually."
Monica,"(spitting out her drink in shock) Oh God, oh God, I am sorry... I am so sorry..."
Paul,It's okay...
Monica,I know being spit on is probably not what you need right now. Um... how long?
Paul,Two years.
Monica,Wow! I'm-I'm-I'm glad you smashed her watch!
Paul,"So you still think you, um... might want that fifth date?"
Monica,"(pause)...Yeah. Yeah, I do."
Priest on TV,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony."
Rachel,Oh...see... but Joanne loved Chachi! That's the difference!
Ross,"(scornful) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
Joey,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man, (looks to Chandler)"
Chandler,"Angela's the screamer, Andrea has cats."
Joey,Right. Thanks. It's June. I'm outta here. (Exits.)
Ross,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? (He gazes out of the window.)"
Rachel,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
Chandler,That is amazing.
Joey,Congratulations.
Rachel,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
Chandler,"If I can invade Poland, there isn't anything I can't do."
Joey,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... (Joey and Chandler taste the coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that hungry..."
Monica,"(entering, to herself) Oh good, Lenny and Squigy are here."
All,Morning. Good morning.
Paul,(entering from Monica's room) Morning.
Joey,"Morning, Paul."
Rachel,"Hello, Paul."
Chandler,"Hi, Paul, is it?"
Paul,Thank you! Thank you so much!
Monica,Stop!
Paul,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
Monica,We'll talk later.
Paul,Yeah. (They kiss) Thank you. (Exits)
Joey,That wasn't a real date?! What the hell do you do on a real date?
Monica,"Shut up, and put my table back."
All,Okayyy! (They do so.)
Chandler,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
Rachel,"So, like, you guys all have jobs?"
Monica,"Yeah, we all have jobs. See, that's how we buy stuff."
Joey,"Yeah, I'm an actor."
Rachel,Wow! Would I have seen you in anything?
Joey,I doubt it. Mostly regional work.
Monica,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
Joey,"Look, it was a job all right?"
Chandler,"'Look, Gippetto, I'm a real live boy.'"
Joey,I will not take this abuse. (Walks to the door and opens it to leave.)
Chandler,"You're right, I'm sorry. (Burst into song and dances out of the door.) ""Once I was a wooden boy, a little wooden boy..."""
Joey,"You should both know, that he's a dead man. Oh, Chandler? (Starts after Chandler.)"
Monica,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
Rachel,I can see that. You look like you slept with a hanger in your mouth.
Monica,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
Rachel,"Oh, yeah."
Monica,"Well, it's like that. With feelings."
Rachel,Oh wow. Are you in trouble.
Monica,Big time!
Rachel,Want a wedding dress? Hardly used.
Monica,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
Rachel,"Oh, look, wish me luck!"
Monica,What for?
Rachel,I'm gonna go get one of those (Thinks) job things.
Frannie,"Hey, Monica!"
Monica,"Hey Frannie, welcome back! How was Florida?"
Frannie,"You had sex, didn't you?"
Monica,How do you do that?
Frannie,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?"
Monica,You know Paul?
Frannie,"Paul the Wine Guy? Oh yeah, I know Paul."
Monica,You mean you know Paul like I know Paul?
Frannie,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
Joey,(sitting on the arm of the couch)Of course it was a line!
Monica,"Why?! Why? Why, why would anybody do something like that?"
Ross,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
Monica,I hate men! I hate men!
Phoebe,"Oh no, don't hate, you don't want to put that out into the universe."
Monica,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
Phoebe,"All right, c'mere, gimme your feet. (She starts massaging them.)"
Monica,"I just thought he was nice, y'know?"
Joey,(bursts out laughing again) I can't believe you didn't know it was a line!
Rachel,Guess what?
Ross,You got a job?
Rachel,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
Chandler,And yet you're surprisingly upbeat.
Rachel,"You would be too if you found John and David boots on sale, fifty percent off!"
Chandler,"Oh, how well you know me..."
Rachel,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
Monica,How'd you pay for them?
Rachel,"Uh, credit card."
Monica,And who pays for that?
Rachel,Um... my... father.
Rachel,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want."
Monica,"C'mon, you can't live off your parents your whole life."
Rachel,I know that. That's why I was getting married.
Phoebe,"Give her a break, it's hard being on your own for the first time."
Rachel,Thank you.
Phoebe,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
Ross,The word you're looking for is 'Anyway'...
Monica,"All right, you ready?"
Rachel,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!"
Monica,"You can, I know you can!"
Rachel,I don't think so.
Ross,"Come on, you made coffee! You can do anything! (Chandler slowly tries to hide the now dead plant from that morning when he and Joey poured their coffee into it.)"
Ross,"C'mon, cut. Cut, cut, cut,..."
All,"Cut, cut, cut, cut, cut, cut, cut... (She cuts one of them and they cheer.)"
Rachel,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
Monica,Rachel! That was a library card!
All,"Cut, cut, cut, cut, cut, cut, cut.."
Chandler,"(as Rachel is cutting up her cards) Y'know, if you listen closely, you can hear a thousand retailers scream."
Monica,Welcome to the real world! It sucks. You're gonna love it!
Monica,"Well, that's it (To Ross) You gonna crash on the couch?"
Ross,"No. No, I gotta go home sometime."
Monica,You be okay?
Ross,Yeah.
Rachel,"Hey Mon, look what I just found on the floor. (Monica smiles.) What?"
Monica,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody."
Ross and Rachel,Goodnight.
Ross,"Mmm. (They both reach for the last cookie) Oh, no-"
Rachel,Sorry-
Ross,"No no no, go-"
Rachel,"No, you have it, really, I don't want it-"
Ross,Split it?
Rachel,Okay.
Ross,"Okay. (They split it.) You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
Rachel,I knew.
Ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
Rachel,I did.
Ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
Rachel,"Yeah, maybe..."
Ross,"Okay... okay, maybe I will..."
Rachel,Goodnight.
Ross,Goodnight.
Monica,"See ya.... Waitwait, what's with you?"
Ross,I just grabbed a spoon. (Ross exits and Monica has no idea what that means.)
Joey,I can't believe what I'm hearing here.
Phoebe,(sings) I can't believe what I'm hearing here...
Monica,What? I-I said you had a-
Phoebe,(sings) What I said you had...
Monica,(to Phoebe) Would you stop?
Phoebe,"Oh, was I doing it again?"
All,Yes!
Monica,"I said that you had a nice butt, it's just not a great butt."
Joey,"Oh, you wouldn't know a great butt if it came up and bit ya."
Ross,There's an image.
Rachel,(walks up with a pot of coffee) Would anybody like more coffee?
Chandler,"Did you make it, or are you just serving it?"
Rachel,I'm just serving it.
All,"Yeah. Yeah, I'll have a cup of coffee."
Chandler,"Kids, new dream... I'm in Las Vegas. (Rachel sits down to hear Chandler's dream.)"
Customer,"(To Rachel) Ahh, miss? More coffee?"
Rachel,"Ugh. (To another customer that's leaving.) Excuse me, could you give this to that guy over there? (Hands him the coffee pot.) Go ahead. (He does so.) Thank you. (To the gang.) Sorry. Okay, Las Vegas."
Chandler,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
Monica,"What you guys don't understand is, for us, kissing is as important as any part of it."
Joey,"Yeah, right!.......Y'serious?"
Phoebe,"Oh, yeah!"
Rachel,Everything you need to know is in that first kiss.
Monica,Absolutely.
Chandler,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
Ross,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
Chandler,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
Rachel,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
Joey,(pause)....Are we still talking about sex?
Ross,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
Marsha,"Well, she has issues."
Ross,Does she.
Marsha,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
Ross,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
Marsha,"Speaking of issues, isn't that your ex-wife?"
Ross,(trying to ignore her) No. No.
Marsha,"Yes, it is. Carol! Hi!"
Ross,"Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you in the Ice Age."
Ross,Hi.
Carol,So.
Ross,"You look great. I, uh... I hate that."
Carol,Sorry. You look good too.
Ross,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
Carol,A lesbian?
Ross,"Well... you never know. How's, um.. how's the family?"
Carol,"Marty's still totally paranoid. Oh, and, uh-"
Ross,"Why- why are you here, Carol?"
Carol,I'm pregnant.
Ross,Pregnant?!
Chandler,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
Phoebe,...Then I've already seen this one! (Turns off the TV.)
Monica,(taking a drink from Joey) Are you through with that?
Joey,"Yeah, sorry, the swallowing slowed me down."
Monica,Whose little ball of paper is this?!
Chandler,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (sees that Monica is glaring at him) ...now I wish I was dead."
Phoebe,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- (Monica glares at her.) -but, it's fine!"
Monica,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have."
Chandler,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
Phoebe,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
Joey,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
Monica,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born."
Chandler,"(looking out the window) Ew, ew, ew, ew ew ew ew ew!"
Monica,What?
Chandler,Ugly Naked Guy got a Thighmaster!
All,Eeaagh!
Rachel,Has anybody seen my engagement ring?
Phoebe,"Yeah, it's beautiful."
Rachel,"Oh God, oh God, oh God oh God oh God oh God.... (Starts to look under the couch cushions.)"
Phoebe,"No, look, don't touch that!"
Rachel,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
Monica,"Easy Rach, we'll find it. (To all) Won't we!"
Chandler and Joey,Oh! Yeah!
Joey,"Alright, when'd'ya have it on last?"
Phoebe,Doy! Probably right before she lost it!
Chandler,You don't get a lot of 'doy' these days...
Rachel,"I know I had it this morning, and I know I had it when I was in the kitchen with..."
Chandler,...Dinah?
Rachel,"(looks at the lasagne and realizes something) Ohhhhh, don't be mad..."
Monica,You didn't.
Rachel,"Oh, I am sorry..."
Monica,I gave you one job! (Starts to examin the lasagne through the bottom of the glass pan.)
Rachel,"Oh, but look how straight those noodles are!"
Chandler,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
Monica,(puts down the lasagne) I just... can't do it.
Chandler,Boys? We're going in.
Ross,(standing outside the door).....Hi.
Monica,Wow. That is not a happy hi.
Ross,Carol's pregnant.
Phoebe,(while everyone else is stunned) Ooh! I found it!
Monica,W-w-wh-... wha-... w-w-w-...
Ross,"Yeah. Do that for another two hours, you might be where I am right about now. (He enters.)"
Chandler,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
Rachel,"Well now, how-how do you fit into this whole thing?"
Ross,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
Phoebe,She is so great! I miss her.
Monica,What does she mean by 'involved'?
Chandler,"I mean presumably, the biggest part of your job is done."
Ross,"Anyway, they want me to go down to this- sonogram thing with them tomorrow."
Rachel,So what are you gonna do?
Ross,"I have no idea. No matter what I do, though, I'm still gonna be a father."
Joey,".....Well, this is still ruined, right?"
Mrs. Geller,"Oh, Martha Ludwin's daughter is gonna call you. (Tastes a snack) Mmm! What's that curry taste?"
Monica,Curry.
Mrs. Geller,Mmmm!
Ross,"I- I think they're great! I, I really do."
Mr. Geller,"(To Ross) Do you remember the Ludwins? The big one had a thing for you, didn't she?"
Mrs. Geller,They all had a thing for him.
Ross,"Aw, Mom..."
Monica,"I'm sorry, why is this girl going to call me?"
Mrs. Geller,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-"
Monica,"No Mom, I don't have a restaurant, I work in a restaurant."
Mrs. Geller,"Well, they don't have to know that... (She starts to fluff the same pillow Monica fluffed multiple times earlier.)"
Monica,"Ross, could you come and help me with the spaghetti, please?"
Ross,Yeah. (They go to the kitchen.)
Mrs. Geller,"Oh, we're having spaghetti! That's.... easy."
Monica,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me."
Mrs. Geller,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well."
Mr. Geller,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
Mrs. Geller,"Well, at least she had the chance to leave a man at the altar..."
Monica,What's that supposed to mean?
Mrs. Geller,Nothing! It's an expression.
Monica,No it's not.
Mr. Geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
Mr. Geller,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer."
Mr. Geller,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem."
Monica,"(trying desperately to change the subject) So, Ross, what's going on with you? Any stories? (Digs her elbow into his hand.) No news, no little anecdotes to share with the folks?"
Ross,"(pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
Mrs. Geller,(To Monica) And you knew about this?!
Joey,"Your folks are really that bad, huh?"
Ross,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
Monica,"Boy, I know they say you can't change your parents,... boy, if you could- (To Ross) -I'd want yours."
Ross,Must pee. (Goes to pee.)
Phoebe,"Y'know, it's even worse when you're twins."
Rachel,You're twins?
Phoebe,"Yeah. We don't speak. She's like this high-powered, driven career type."
Chandler,What does she do?
Phoebe,She's a waitress.
Rachel,"All right, you guys, I kinda gotta clean up now. (They all start to leave.)"
Monica,"Chandler, you're an only child, right? You don't have any of this."
Chandler,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
Rachel,"The lights, please.."
Ross,...How long was I in there?
Rachel,I'm just cleaning up.
Ross,D'ya.. uh.. d'ya need any help?
Rachel,"Uh.. okay, sure! Thanks! (She hands him the broom and sits down.)"
Ross,"Anyway.. um.. (Starts to sweep.) So, you- uh- you nervous about Barry tomorrow?"
Rachel,Oh.. a little..
Ross,Mm-hmm..
Rachel,A lot.
Ross,Mm.
Rachel,"So, got any advice? Y'know, as someone who's recently been- dumped?"
Ross,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
Rachel,"Oh, you've got Carol tomorrow.. When did it get so complicated?"
Ross,Got me.
Rachel,Remember when we were in high school together?
Ross,Yeah.
Rachel,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? (Ross gazes at her.) ..Ross?"
Ross,"Yes, yes!"
Rachel,"Oh! Man, I never thought I'd be here.. (She leans back onto his hand.)"
Ross,Me either... (He pulls up a stool so that he doesn't have to move his hand.)
Ross,"(entering) Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
Susan,Hi.
Carol,"Ross, you remember Susan."
Ross,How could I forget?
Susan,Ross.
Ross,"(they shake hands) Hello, Susan. (To Carol) Good shake. Good shake. So, uh, we're just waiting for...?"
Carol,Dr. Oberman.
Ross,..Dr. Oberman. Okay. And is he-
Susan,She.
Ross,"-she, of course, she- uh- familiar with our.. special situation?"
Carol,"Yes, and she's very supportive."
